Orientation,Rotating_Speed_(rpm),Molecular_Weight_(g/mol),Cosolvent1,Cosolvent2,Cosolvent_Ratio,Polymer_Concentration_(wt%),MWCNT,Cloisite30B clay,BaTiO3,Graphene,Graphene Oxide,Reduced Graphene Oxide,PBO,Polyaniline,LiCl,Fluorosurfactant,CNT,Ag Nanoparticle,Nanosilica,Platinum,NaNbO3,HNT,ZnO,Nickle Chloride Hexahydrate,BiCl3,Filler1_%_(wt%),Filler2_%_(wt%),Average_Temperature,Average_Humidity_(%),Needle_Size_(mm),Distance_(cm),Voltage_(kV),Flow_rate_(ml/hr),Electric_Field_(kV/m),Diameter_(nm),XRD ?-phase_content_(%),FTIR ?-phase_content_(%),Generated_Voltage_(V),Rank,Input_force_(N),Horizontal_Deflection_(mm),Deflection_(mm),Strain_(mm/mm),frequency_(Hz),Orignal_Sample_Length_(mm),Test,Reference
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,0.6,80,200,N/A,N/A,0.24,1,4,N/A,N/A,N/A,1,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,1.2,80,200,N/A,N/A,0.21,1,4,N/A,N/A,N/A,5,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,1.8,80,200,N/A,N/A,0.28,1,4,N/A,N/A,N/A,10,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,2.4,80,100,N/A,N/A,0.28,1,4,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,100,172000,DMF,Acetone,2/3,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,16,40,N/A,250,490,N/A,0.778,1,1,10,N/A,N/A,N/A,5,20,Impact/Compression,Enhanced mechanical energy harvesting using needleless
0,100,172000,DMF,Acetone,2/3,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,16,45,N/A,281.25,500,N/A,N/A,1.6,1,10,N/A,N/A,N/A,5,20,Impact/Compression,"Enhanced mechanical energy harvesting using needleless
electrospun poly (vinylidene fluoride) nanofibre webs"
0,100,172000,DMF,Acetone,2/3,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,16,50,N/A,312.5,510,N/A,N/A,2.05,2,10,N/A,N/A,N/A,5,20,Impact/Compression,"Enhanced mechanical energy harvesting using needleless
electrospun poly (vinylidene fluoride) nanofibre webs"
0,100,172000,DMF,Acetone,2/3,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,16,55,N/A,343.75,530,N/A,N/A,2.1,2,10,N/A,N/A,N/A,5,20,Impact/Compression,"Enhanced mechanical energy harvesting using needleless
electrospun poly (vinylidene fluoride) nanofibre webs"
0,100,172000,DMF,Acetone,2/3,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,16,60,N/A,375,539,N/A,0.885,2.6,2,10,N/A,N/A,N/A,5,20,Impact/Compression,"Enhanced mechanical energy harvesting using needleless
electrospun poly (vinylidene fluoride) nanofibre webs"
1,600,352000,DMF,Acetone,3/2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0.413,15,10,1,66.66666667,294.8,N/A,0.652,6.86,3,5.54,N/A,N/A,N/A,N/A,40,Impact/Compression,Piezoelectric sensor based on electrospun PVDF-MWCNT-Cloisite 30B hybrid
1,600,352000,DMF,Acetone,3/2,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.001,N/A,N/A,0.413,15,10,1,66.66666667,217.6,N/A,0.872,8.7,3,5.3,N/A,N/A,N/A,N/A,40,Impact/Compression,Piezoelectric sensor based on electrospun PVDF-MWCNT-Cloisite 30B hybrid
1,600,352000,DMF,Acetone,3/2,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00075,0.00075,N/A,N/A,0.413,15,10,1,66.66666667,221.4,N/A,0.85,7.42,3,5.48,N/A,N/A,N/A,N/A,40,Impact/Compression,Piezoelectric sensor based on electrospun PVDF-MWCNT-Cloisite 30B hybrid
1,600,352000,DMF,Acetone,3/2,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0005,N/A,N/A,0.413,15,10,1,66.66666667,243.3,N/A,0.833,6.65,3,5.26,N/A,N/A,N/A,N/A,40,Impact/Compression,Piezoelectric sensor based on electrospun PVDF-MWCNT-Cloisite 30B hybrid
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,15,18,0.2,120,500,N/A,N/A,0.6,1,1.5,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,15,18,0.2,120,500,N/A,N/A,1.1,1,11,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,15,18,0.2,120,500,N/A,N/A,1.6,1,17,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,15,18,0.2,120,500,N/A,N/A,3,2,37,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,N/A,N/A,N/A,15,18,0.2,120,800,N/A,N/A,0.75,1,1.5,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,N/A,N/A,N/A,15,18,0.2,120,800,N/A,N/A,2,2,11,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,N/A,N/A,N/A,15,18,0.2,120,800,N/A,N/A,2.4,2,17,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,N/A,N/A,N/A,15,18,0.2,120,800,N/A,N/A,4.3,2,37,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,N/A,N/A,N/A,15,18,0.2,120,1000,N/A,N/A,0.75,1,1.5,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,N/A,N/A,N/A,15,18,0.2,120,1000,N/A,N/A,1.6,1,11,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,N/A,N/A,N/A,15,18,0.2,120,1000,N/A,N/A,2.3,2,17,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,N/A,N/A,N/A,15,18,0.2,120,1000,N/A,N/A,4.3,2,37,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,N/A,N/A,N/A,15,18,0.2,120,N/A,N/A,N/A,1,1,1.5,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,N/A,N/A,N/A,15,18,0.2,120,N/A,N/A,N/A,2.1,2,11,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,N/A,N/A,N/A,15,18,0.2,120,N/A,N/A,N/A,3.1,2,17,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,N/A,N/A,N/A,15,18,0.2,120,N/A,N/A,N/A,6.2,3,37,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,15,18,0.2,120,600,N/A,N/A,0.75,1,1.5,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,15,18,0.2,120,600,N/A,N/A,1.75,1,11,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,15,18,0.2,120,600,N/A,N/A,2.75,2,17,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,15,18,0.2,120,600,N/A,N/A,5.2,3,37,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,N/A,N/A,N/A,15,18,0.2,120,N/A,N/A,N/A,1.8,1,1.5,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,N/A,N/A,N/A,15,18,0.2,120,N/A,N/A,N/A,3.3,2,11,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,N/A,N/A,N/A,15,18,0.2,120,N/A,N/A,N/A,5.5,3,17,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,543000,DMSO,Acetone,1/3,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,N/A,N/A,N/A,15,18,0.2,120,N/A,N/A,N/A,6.5,3,37,N/A,N/A,N/A,1.9231,N/A,Impact/Compression,Effect of Adding BaTiO3 to PVDF as Nano Generator
0,0,550000,DMF,Acetone,1/1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.35,N/A,12,12,N/A,100,370,N/A,N/A,N/A,4,9,N/A,N/A,N/A,3.5,35,Impact/Compression,Wireless piezoelectric devices based on electrospun PVDF BaTiO3 NW nanocomposite fibers for human motion monitoring
0,0,550000,DMF,Acetone,1/1,N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,N/A,0.35,N/A,12,12,N/A,100,500,N/A,N/A,N/A,4,9,N/A,N/A,N/A,3.5,35,Impact/Compression,Wireless piezoelectric devices based on electrospun PVDF BaTiO3 NW nanocomposite fibers for human motion monitoring
0,0,550000,DMF,Acetone,1/1,N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,N/A,0.35,N/A,12,12,N/A,100,500,N/A,N/A,N/A,4,9,N/A,N/A,N/A,3.5,35,Impact/Compression,Wireless piezoelectric devices based on electrospun PVDF BaTiO3 NW nanocomposite fibers for human motion monitoring
0,0,550000,DMF,Acetone,1/1,N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,N/A,0.35,N/A,12,12,N/A,100,500,N/A,N/A,0.128,1,9,N/A,N/A,N/A,3.5,35,Impact/Compression,Wireless piezoelectric devices based on electrospun PVDF BaTiO3 NW nanocomposite fibers for human motion monitoring
0,0,550000,DMF,Acetone,1/1,N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,N/A,0.35,N/A,12,12,N/A,100,500,N/A,N/A,0.025,1,9,N/A,N/A,N/A,0.18,35,Impact/Compression,Wireless piezoelectric devices based on electrospun PVDF BaTiO3 NW nanocomposite fibers for human motion monitoring
0,0,550000,DMF,Acetone,1/1,N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,N/A,0.35,N/A,12,12,N/A,100,500,N/A,N/A,0.0625,1,9,N/A,N/A,N/A,0.8,35,Impact/Compression,Wireless piezoelectric devices based on electrospun PVDF BaTiO3 NW nanocomposite fibers for human motion monitoring
0,0,550000,DMF,Acetone,1/1,N/A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,N/A,0.35,N/A,12,12,N/A,100,500,N/A,N/A,0.087,1,9,N/A,N/A,N/A,1.8,35,Impact/Compression,Wireless piezoelectric devices based on electrospun PVDF BaTiO3 NW nanocomposite fibers for human motion monitoring
1,300,543000,DMF,Acetone,3/2,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,N/A,N/A,N/A,0.603,10,16,2,160,720,N/A,N/A,0.4,1,1,N/A,N/A,N/A,N/A,60,Impact/Compression,Improving piezoelectric and pyroelectric properties of electrospun PVDF nanofibers using nanofillers for energy harvesting application
1,300,543000,DMF,Acetone,3/2,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,N/A,N/A,N/A,0.603,10,16,2,160,720,N/A,N/A,1.2,1,1.5,N/A,N/A,N/A,N/A,60,Impact/Compression,Improving piezoelectric and pyroelectric properties of electrospun PVDF nanofibers using nanofillers for energy harvesting application
1,300,543000,DMF,Acetone,3/2,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,N/A,N/A,N/A,0.603,10,16,2,160,720,N/A,N/A,1.6,1,2,N/A,N/A,N/A,N/A,60,Impact/Compression,Improving piezoelectric and pyroelectric properties of electrospun PVDF nanofibers using nanofillers for energy harvesting application
1,300,543000,DMF,Acetone,3/2,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,N/A,N/A,N/A,0.603,10,16,2,160,720,N/A,N/A,1.6,1,2.5,N/A,N/A,N/A,N/A,60,Impact/Compression,Improving piezoelectric and pyroelectric properties of electrospun PVDF nanofibers using nanofillers for energy harvesting application
1,300,543000,DMF,Acetone,3/2,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,N/A,N/A,N/A,0.603,10,16,2,160,720,N/A,N/A,1.5,1,N/A,N/A,N/A,N/A,10,60,Impact/Compression,Improving piezoelectric and pyroelectric properties of electrospun PVDF nanofibers using nanofillers for energy harvesting application
1,300,543000,DMF,Acetone,3/2,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,N/A,N/A,N/A,0.603,10,16,2,160,720,N/A,N/A,1.5,1,N/A,N/A,N/A,N/A,5,60,Impact/Compression,Improving piezoelectric and pyroelectric properties of electrospun PVDF nanofibers using nanofillers for energy harvesting application
1,300,543000,DMF,Acetone,3/2,0.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,N/A,N/A,N/A,0.603,10,16,2,160,720,N/A,N/A,0.5,1,N/A,N/A,N/A,N/A,1,60,Impact/Compression,Improving piezoelectric and pyroelectric properties of electrospun PVDF nanofibers using nanofillers for energy harvesting application
0,N/A,275000,N/A,N/A,N/A,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,17,20,1,117.6470588,165,N/A,0.77,3.8,2,2,N/A,N/A,N/A,1,20,Impact/Compression,PVDF/graphene composite nanofibers with enhanced piezoelectric performance for development of robust nanogenerators
0,N/A,275000,N/A,N/A,N/A,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,N/A,N/A,N/A,N/A,17,20,1,117.6470588,107,N/A,0.83,7.9,3,2,N/A,N/A,N/A,1,20,Impact/Compression,PVDF/graphene composite nanofibers with enhanced piezoelectric performance for development of robust nanogenerators
0,N/A,275000,N/A,N/A,N/A,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,N/A,N/A,N/A,N/A,17,20,1,117.6470588,106,N/A,0.76,2.9,2,2,N/A,N/A,N/A,1,20,Impact/Compression,PVDF/graphene composite nanofibers with enhanced piezoelectric performance for development of robust nanogenerators
0,N/A,275000,N/A,N/A,N/A,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,N/A,N/A,N/A,N/A,17,20,1,117.6470588,80,N/A,0.74,3.8,2,2,N/A,N/A,N/A,1,20,Impact/Compression,PVDF/graphene composite nanofibers with enhanced piezoelectric performance for development of robust nanogenerators
0,N/A,275000,N/A,N/A,N/A,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,N/A,N/A,N/A,N/A,17,20,1,117.6470588,229,N/A,0.75,0.85,1,2,N/A,N/A,N/A,1,20,Impact/Compression,PVDF/graphene composite nanofibers with enhanced piezoelectric performance for development of robust nanogenerators
0,N/A,575000,DMF,Acetone,1/1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,0.4,10,22.5,2,225,150,N/A,N/A,0.5,1,N/A,N/A,N/A,N/A,5,50,Impact/Compression,Enhancement of piezoelectric energy-harvesting capacity of electrospun ?-PVDF nanogenerators by adding GO and rGO
0,N/A,575000,DMF,Acetone,1/1,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,N/A,N/A,N/A,0.4,10,22.5,2,225,93,N/A,N/A,1.15,1,N/A,N/A,N/A,N/A,5,50,Impact/Compression,Enhancement of piezoelectric energy-harvesting capacity of electrospun ?-PVDF nanogenerators by adding GO and rGO
0,N/A,575000,DMF,Acetone,1/1,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,N/A,N/A,N/A,0.4,10,22.5,2,225,93,N/A,N/A,0.65,1,N/A,N/A,N/A,N/A,5,50,Impact/Compression,Enhancement of piezoelectric energy-harvesting capacity of electrospun ?-PVDF nanogenerators by adding GO and rGO
0,N/A,575000,DMF,Acetone,1/1,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,N/A,N/A,N/A,0.4,10,22.5,2,225,55,N/A,N/A,3.4,2,N/A,N/A,N/A,N/A,5,50,Impact/Compression,Enhancement of piezoelectric energy-harvesting capacity of electrospun ?-PVDF nanogenerators by adding GO and rGO
0,N/A,575000,DMF,Acetone,1/1,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,N/A,N/A,N/A,0.4,10,22.5,2,225,55,N/A,N/A,4.38,2,N/A,N/A,N/A,N/A,5,50,Impact/Compression,Enhancement of piezoelectric energy-harvesting capacity of electrospun ?-PVDF nanogenerators by adding GO and rGO
0,N/A,575000,DMF,Acetone,7/3,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,N/A,N/A,N/A,15,16,0.4,106.6666667,90,N/A,N/A,9.68,3,N/A,N/A,N/A,N/A,N/A,N/A,Impact/Compression,PBO/graphene added ?-PVDF piezoelectric composite nanofiber production
0,N/A,575000,DMF,Acetone,7/3,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,N/A,N/A,N/A,15,16,0.4,106.6666667,90,N/A,N/A,60,4,N/A,N/A,N/A,N/A,N/A,N/A,Impact/Compression,PBO/graphene added ?-PVDF piezoelectric composite nanofiber production
1,1500,575000,DMF,Acetone,17/3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,60,0.838,15,22,0.8,146.6666667,351,0.375,0.349,0.05,1,0.44,N/A,N/A,N/A,N/A,20,Impact/Compression,"Durable, Efficient, and Flexible Piezoelectric Nanogenerator from Electrospun PANi/HNT/PVDF Blend Nanocomposite"
1,1500,575000,DMF,Acetone,17/3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,60,0.838,15,22,0.8,146.6666667,351,0.375,0.349,0.07,1,1.36,N/A,N/A,N/A,N/A,20,Impact/Compression,"Durable, Efficient, and Flexible Piezoelectric Nanogenerator from Electrospun PANi/HNT/PVDF Blend Nanocomposite"
1,1500,575000,DMF,Acetone,17/3,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,60,0.838,15,22,0.8,146.6666667,351,0.375,0.349,0.25,1,2.32,N/A,N/A,N/A,N/A,20,Impact/Compression,"Durable, Efficient, and Flexible Piezoelectric Nanogenerator from Electrospun PANi/HNT/PVDF Blend Nanocomposite"
